Date,Headline,Sentiment,URL
1/10/18,Bitmain Looks to Europe as China Cools to Bitcoin Miners,0,https://www.coindesk.com/bitmain-expands-to-switzerland-as-china-cools-to-bitcoin-miners/
1/10/18,Goldman Sachs: Bitcoin Could Be Viable Money In Troubled Economies,2,https://www.coindesk.com/goldman-sachs-bitcoin-viable-money-troubled-economies/
1/10/18,Kodak Debuts Bitcoin Miner as Blockchain Pivot Juices Stock Price,2,https://www.coindesk.com/kodak-is-also-backing-a-new-bitcoin-mining-service/
1/10/18,Downside Exposed? Bitcoin Continues Slide to Below $14K,-2,https://www.coindesk.com/downside-exposed-bitcoin-continues-slide-to-below-14k/
1/10/18,Microsoft Resumes Bitcoin Payments After Halt Over 'Instability',1,https://www.coindesk.com/microsoft-resumes-bitcoin-payments-after-halt-over-instability/
1/9/18,Bitcoin ETF Proposals Withdrawn After SEC Pushback,-2,https://www.coindesk.com/more-bitcoin-futures-etf-proposals-withdrawn-after-sec-pushback/
1/9/18,Smart Contracts Proposal MAST Inches Closer to Bitcoin's Code,1,https://www.coindesk.com/smart-contracts-proposal-mast-inches-closer-bitcoins-code/
1/9/18,Jamie Dimon Regrets Calling Bitcoin a Fraud,2,https://www.coindesk.com/jamie-dimon-says-he-regrets-calling-bitcoin-a-fraud/
1/9/18,Below $15K: Bitcoin Plays Defense Amid Bear Move,-1,https://www.coindesk.com/15000-bitcoin-defensive-bear-grip-strengthens/
1/9/18,TD Ameritrade: Bitcoin 'Great Opportunity' to Get Millennials Trading,2,https://www.coindesk.com/td-ameritrade-bitcoin-great-opportunity-to-get-millennials-trading/
1/9/18,Bitcoin Mining Wastes Energy? What If That's Good?,1,https://www.coindesk.com/bitcoin-mining-wastes-energy-thats-good-thing/
1/8/18,Bitcoin Faces Bear Move as Price Drops Toward $15K,-2,https://www.coindesk.com/bitcoin-faces-bearish-move-as-prices-drop-towards-15k/
1/8/18,I Love Bitcoin. That's Why I Sue Exchanges,-2,https://www.coindesk.com/i-love-crypto-thats-why-i-sue-bitcoin-exchanges/
1/5/18,Ex-Iced Tea Maker Long Blockchain Is Buying Bitcoin Miners Now,1,https://www.coindesk.com/long-blockchain-to-enter-bitcoin-mining-after-crypto-pivot-claim/
1/5/18,Indian Bitcoin Exchanges Seek Clarification Over Tax Liabilities,1,https://www.coindesk.com/indian-bitcoin-exchanges-seek-clarification-over-tax-liabilities/
1/5/18,Off the Leash? Bitcoin Looks North After Breaking $16K,2,https://www.coindesk.com/off-the-leash-bitcoin-looks-north-after-breaking-16k/
1/4/18,CFTC to Meet On Bitcoin Futures Self-Certification Issue,1,https://www.coindesk.com/cftc-meet-bitcoin-futures-self-certification-issue/
1/4/18,Report: PBoC Quashes Bitcoin Mining Ban Rumor in China,2,https://www.coindesk.com/report-pboc-quashes-rumor-it-would-shutter-chinas-bitcoin-mines/
1/4/18,Coinbase to Customers: Don't Forget to Pay Taxes on Bitcoin Gains,-2,https://www.coindesk.com/coinbase-reminds-users-to-pay-their-bitcoin-taxes/
1/4/18,Down But Not Out: Bitcoin Holds Onto Bullish Territory,1,https://www.coindesk.com/not-bitcoin-holds-onto-bullish-territory/
1/4/18,Merrill Lynch Bans Clients from Investing in Bitcoin Fund,-2,https://www.coindesk.com/merrill-lynch-bans-clients-from-investing-in-bitcoin-fund/
1/4/18,Japan: The New Heart of Bitcoin,1,https://www.coindesk.com/japan-new-heart-bitcoin/
1/3/18,SEC Seeks Comment on CBOE Bitcoin ETF Filings,0,https://www.coindesk.com/sec-publishes-cboe-etf-filing-for-public-comment/
1/3/18,Judge Dismisses Long-Shot Bid to Overturn New York Bitcoin Regulation,-1,https://www.coindesk.com/judge-dismisses-long-shot-bid-overturn-new-york-bitcoin-law/
1/3/18,RSK Beta Brings Ethereum-Style Smart Contracts Closer to Bitcoin,2,https://www.coindesk.com/rsk-beta-brings-ethereum-style-smart-contracts-closer-bitcoin/
1/3/18,ECB Official Calls for Tax on Bitcoin Transactions,-2,https://www.coindesk.com/ecb-official-calls-for-tax-on-bitcoin-transactions/
1/3/18,Bitcoin Miner Sued for Unregistered Securities After ICO,-1,https://www.coindesk.com/bitcoin-miner-sued-securities-fraud-ico/
1/3/18,Korean Law Firm to Appeal New Bitcoin Trading Rules,-1,https://www.coindesk.com/korean-law-firm-files-appeal-over-new-cryptocurrency-trading-rules/
1/3/18,Why Bitcoin Needs Fiat (And This Won't Change in 2018),0,https://www.coindesk.com/bitcoin-still-needs-fiat-currency-wont-change-2018/
1/3/18,"Bitcoin Eyes $18,000 as Tide Turns in Bulls' Favor",2,https://www.coindesk.com/bitcoin-eyes-18000-as-tide-turns-in-bulls-favor/
1/3/18,"'Wealth Effect' From Bitcoin Trading Could Boost Japan's GDP, Say Analysts",2,https://www.coindesk.com/wealth-effect-from-bitcoin-trading-could-boost-japans-gdp-say-analysts/
1/3/18,E-Trade Financial Launches CME Bitcoin Futures Trading,2,https://www.coindesk.com/e-trade-financial-launches-cme-bitcoin-futures-trading/
1/2/18,Video: $1 Million? Bitcoin Sign Guy on Why It's Not Too Late to Buy,2,https://www.coindesk.com/video-1-million-bitcoin-sign-guy-not-late-buy/
1/2/18,Report: Peter Thiel's Founders Fund Bets Millions on Bitcoin,2,https://www.coindesk.com/report-founders-fund-boasts-hundred-million-dollar-return-with-bitcoin-bet/
1/2/18,Crypto Market Sets New High as Bitcoin Dominance Drops to Historic Low,-2,https://www.coindesk.com/crypto-market-cap-sets-time-high-bitcoin-share-drops-historic-low/
1/2/18,Malaysian Minister: No Bitcoin Trading Ban Planned,2,https://www.coindesk.com/malaysian-minister-no-bitcoin-trading-ban-planned/
1/2/18,ECB's Yves Mersch Calls Bitcoin a 'Major Threat' to Financial Stability,-2,https://www.coindesk.com/ecbs-yves-mersch-calls-bitcoin-a-major-threat-to-financial-stability/
1/1/18,Video: Bitcoin Sign Guy Tells All About Infamous Janet Yellen Photobomb,0,https://www.coindesk.com/video-bitcoin-sign-guy-tells-infamous-janet-yellen-photobomb/
12/31/17,Most Influential in Blockchain 2017 #1: Bitcoin Sign Guy,1,https://www.coindesk.com/coindesk-most-influential-2017-1-bitcoin-sign-guy/
12/30/17,What Wall Street Said About Bitcoin in 2017,-1,https://www.coindesk.com/2017-review-bankers-think-bitcoin/
12/29/17,"From $900 to $20,000: Bitcoin's Historic 2017 Price Run Revisited",1,https://www.coindesk.com/900-20000-bitcoins-historic-2017-price-run-revisited/
12/29/17,Bitcoin or Blockchain? Bet That Both Will Thrive in 2018,2,https://www.coindesk.com/bitcoin-blockchain-bet-will-thrive-2018/
12/28/17,"Bitcoin Among Year's Top Searches, Google Data Says",2,https://www.coindesk.com/bitcoin-among-years-top-searches-google-data-says/
12/28/17,Singapore Court Dismisses Summary Judgment for $43 Million Bitcoin Dispute,0,https://www.coindesk.com/singapore-court-dismisses-dispute-over-43-million-in-bitcoin/
12/28/17,Massachusetts Securities Regulator: Bitcoin Fails 'The Smell Test',-2,https://www.coindesk.com/massachusetts-securities-regulator-bitcoin-fails-smell-test/
12/28/17,South Korea to Tighten Bitcoin Exchange Rules Amid 'Speculative' Boom,-2,https://www.coindesk.com/south-korea-to-tighten-bitcoin-exchange-rules-amid-speculative-boom/
12/28/17,El-Erian Predicts Bitcoin Crash if Savvier Investors Sit Out Correction,-2,https://www.coindesk.com/el-erian-predicts-bitcoin-crash-savvier-investors-sit-correction/
12/27/17,Former FDIC Chair: Bitcoin Policies Shouldn't 'Feed the Frenzy',-1,https://www.coindesk.com/former-fdic-chair-bitcoin-policies-shouldnt-feed-frenzy/
12/27/17,Israeli Finance Watchdog Seeks to Ban Public Firms from Bitcoin Trading,-2,https://www.coindesk.com/israeli-finance-watchdog-seeks-ban-public-firms-bitcoin-trading/
12/27/17,2017 Was Bitcoin's Year. 2018 Will Be Ethereum's,-1,https://www.coindesk.com/2017-bitcoins-year-2018-will-ethereums/
12/27/17,Bitcoin's Real Bottleneck,-2,https://www.coindesk.com/bitcoins-2018s-bottleneck/
12/23/17,After the Futures: The Next Chapter for Bitcoin,0,https://www.coindesk.com/comes-futures-next-chapter-bitcoin/
12/22/17,Futures Firm Cboe Filed for 6 Bitcoin ETFs This Week,2,https://www.coindesk.com/futures-firm-cboe-filed-for-6-bitcoin-etfs-this-week/
12/22/17,"Buying Bitcoin? Hedge Funds Will Use Blockchain, Too",1,https://www.coindesk.com/buying-bitcoin-investment-funds-will-blockchain/
12/22/17,"Bitcoin Price Drops Below $15k, Down 25% from All-Time High",-2,https://www.coindesk.com/bitcoin-dropped-22-5-to-weekly-low-from-all-time-high/
12/21/17,Texas Slaps Bitcoin Investment Firm With Cease-and-Desist,-2,https://www.coindesk.com/texas-slaps-bitcoin-investment-firm-cease-desist/
12/21/17,Bank of England Chief: Bitcoin Isn't a Threat to Financial Stability,2,https://www.coindesk.com/bank-of-england-chief-bitcoin-isnt-a-threat-to-financial-stability/
12/21/17,Think Tank Links Rising Bitcoin Price to Terrorist Use,-2,https://www.coindesk.com/u-s-think-tank-finds-rising-bitcoin-price-linked-terrorist-interest/
12/20/17,ICE Exchange Unit Seeks to List Bitcoin Futures ETFs,1,https://www.coindesk.com/ice-exchange-unit-seeking-to-list-bitcoin-futures-etf/
12/20/17,How Low Can Bitcoin Go? Charts Hint $11k in Play,-2,https://www.coindesk.com/low-can-bitcoin-go-charts-hint-11k-might-play/
12/20/17,Singapore Central Bank Urges 'Extreme Caution' on Bitcoin Investment,-2,https://www.coindesk.com/singapores-central-bank-urges-extreme-caution-on-bitcoin-investments/
12/20/17,"Bitcoin No Threat to Financial Stability, Say European Economists",2,https://www.coindesk.com/bitcoin-no-threat-to-financial-stability-say-european-economists/
12/20/17,Chain Moves to Simplify Smart Contracts on Bitcoin Blockchain,2,https://www.coindesk.com/chain-moves-simplify-smart-contracts-bitcoin-blockchain/
12/20/17,Bring on the FUD: 2017 Was The Year Bitcoin Became Anti-Fragile,-2,https://www.coindesk.com/bring-fud-2017-year-bitcoin-became-anti-fragile/
12/19/17,$17k Breached: Bitcoin Down 15% from All-Time High,-2,https://www.coindesk.com/17k-breached-bitcoin-price-now-down-15-from-all-time-high/
12/19/17,Nobel Winner Robert Shiller: Bitcoin Is Too 'Ambiguous' to Value,-2,https://www.coindesk.com/nobel-winner-robert-shiller-bitcoin-ambiguous-value/
12/19/17,Bitcoin Exchange Youbit to Declare Bankruptcy After Hack,-2,https://www.coindesk.com/south-korean-bitcoin-exchange-declare-bankruptcy-hack/
12/19/17,Kuwait's Ministry of Finance Says It Does Not Recognize Bitcoin,-2,https://www.coindesk.com/kuwaits-ministry-of-finance-says-it-does-not-recognize-bitcoin/
12/19/17,"'Stay Away' from Bitcoin, Warns Danish Central Bank Chief",-2,https://www.coindesk.com/stay-away-from-bitcoin-warns-danish-central-bank-chief/
12/19/17,"Bitcoin Likely to Become 'Niche' Product, Says ING's Top Economist",1,https://www.coindesk.com/bitcoin-likely-become-niche-product-says-ings-top-economist/
12/18/17,Hedge Fund Pro Miller Is '50 Percent' Invested in Bitcoin,1,https://www.coindesk.com/hedge-fund-pro-bill-miller-just-about-50-percent-invested-in-bitcoin/
12/18/17,CFTC Launches Online Resources for Bitcoin Investors,2,https://www.coindesk.com/cftc-launches-online-resources-bitcoin-investors/
12/18/17,France Wants G20 Nations to Discuss Bitcoin Regulation,0,https://www.coindesk.com/france-wants-g20-nations-discuss-bitcoin-regulation/
12/18/17,Bull Market Breather? Bitcoin Retreats After Run on $20k,-1,https://www.coindesk.com/bull-market-breather-bitcoin-retreats-run-20k/
12/18/17,Fidelity Charitable Raises $22 Million in Bitcoin in 2017,2,https://www.coindesk.com/fidelitys-charity-arm-raises-22-million-bitcoin-2017/
12/18/17,Bought Your First Bitcoin or Ether? Brace for the Fees,-2,https://www.coindesk.com/bought-first-bitcoin-ether-now-brace-fees/
12/18/17,CME Bitcoin Futures Price Above $20k in First Day Trading,2,https://www.coindesk.com/cme-groups-first-bitcoin-futures-open-above-20000/
12/17/17,Bitcoin Price Primed to Test $20k Ahead of CME Launch,2,https://www.coindesk.com/sell-news-bitcoin-price-tests-20k-ahead-cmes-futures-launch/
12/16/17,"Bitcoin Takes All? Enterprise Blockchains Need Time, Too",1,https://www.coindesk.com/bitcoin-takes-private-blockchains-need-patience/
12/15/17,$20k Bitcoin? Changing Charts Favor Crypto Rivals,-1,https://www.coindesk.com/20k-bitcoin-not-yet-changing-charts-favor-crypto-rivals/
12/15/17,More to Come? Bitcoin Sets Record High Near $18k,2,https://www.coindesk.com/more-to-come-bitcoin-sets-new-record-high-above-17800/
12/15/17,UK's FCA Chief Warns Bitcoin Investors: Be Prepared to Lose Your Money,-2,https://www.coindesk.com/uks-fca-chief-warns-bitcoin-investors-be-prepared-to-lose-your-money/
12/15/17,Survey: Most Bitcoin Investors Expect Even Fatter Returns in 2018,2,https://www.coindesk.com/survey-bitcoin-investors-expect-even-fatter-returns-2018/
12/14/17,"As Wall Street Bids Up Bitcoin, ICO Tactics Change",1,https://www.coindesk.com/wall-street-bids-bitcoin-tactics-change-icos/
12/14/17,DOJ Alleges Bitcoin Involved in Attempted ISIS Funding,-2,https://www.coindesk.com/doj-alleges-bitcoin-involved-attempted-isis-funding/
12/14/17,Bitcoin Looks Lower In Chase for 'Small Cap' Gains,-2,https://www.coindesk.com/down-we-go-bitcoin-looks-lower-as-traders-chase-small-cap-gains/
12/14/17,India's Tax Department Collects User Data at Multiple Bitcoin Exchanges,0,https://www.coindesk.com/indias-tax-department-collects-user-data-at-multiple-bitcoin-exchanges/
12/13/17,2018's Big Question: Can Bitcoin Forks Deliver Value?,0,https://www.coindesk.com/2018s-big-question-can-bitcoin-forks-deliver-value/
12/13/17,Fed Chair Yellen: Bitcoin Is a 'Highly Speculative Asset',-1,https://www.coindesk.com/yellen-calls-bitcoin-highly-speculative-asset-final-press-conference/
12/13/17,South Korean Officials Weigh New Curbs on Bitcoin Trading,-1,https://www.coindesk.com/south-korean-officials-weigh-taxes-new-curbs-bitcoin-exchanges/
12/13/17,Here Come the Bogus Bitcoin Scare Tactics,1,https://www.coindesk.com/come-bogus-bitcoin-scare-tactics/
12/13/17,Bitcoin Price Dilemma: Bull and Bear Paths in Play,-1,https://www.coindesk.com/bitcoin-price-dilemma-bull-bear-paths-play/
12/13/17,Japan's GMO Internet to Roll Out Bitcoin Payroll System,2,https://www.coindesk.com/japans-gmo-internet-to-roll-out-bitcoin-payroll-system/
12/13/17,Bitcoin Has Gone Mainstream. That's a Very Big Deal,2,https://www.coindesk.com/bitcoin-gone-mainstream-thats-big-deal/
12/13/17,Victory Lap? 2017 Was Bitcoin's Backwards Year,1,https://www.coindesk.com/victory-lap-2017-bitcoins-backward-year/
12/13/17,Bitcoin Futures Codes: How to Read Them And What They Mean,0,https://www.coindesk.com/bitcoin-futures-codes-read-mean/
12/12/17,Fake News? Former New Zealand Prime Minister Denies Investing in Bitcoin,0,https://www.coindesk.com/fake-news-former-new-zealand-prime-minister-denies-investing-bitcoin/
12/12/17,Mt Gox Creditors Want Bitcoin Exchange Taken Out of Bankruptcy,1,https://www.coindesk.com/mt-gox-creditors-want-bitcoin-exchange-taken-bankruptcy/
12/12/17,Bitcoin Bulls Face 'Alt' Competition in Push to $20k,-2,https://www.coindesk.com/bitcoin-bulls-face-alt-competition-push-20k/
12/12/17,"Bitcoin Investing: A 10,000-Year View",2,https://www.coindesk.com/bitcoin-investing-10000-year-view/
12/12/17,"Bitcoin Isn't Sapping Demand for Gold, Says Goldman Sachs Exec",2,https://www.coindesk.com/bitcoin-isnt-sapping-demand-for-gold-says-goldman-sachs-exec/
12/12/17,"No Stopping? After New High, Bitcoin Price Eyes $20k",2,https://www.coindesk.com/no-stopping-after-record-high-bitcoin-price-eyes-20000/
12/12/17,Hong Kong Regulator Issues Warning on Bitcoin Futures,-1,https://www.coindesk.com/hong-kong-regulator-issues-warning-unregulated-bitcoin-futures/
12/12/17,2017: The 'Butt' of Bitcoin's Joke,-1,https://www.coindesk.com/2017-butt-bitcoins-joke/
12/12/17,'According to Plan': CBOE Bullish on First Day of Bitcoin Futures Trading,2,https://www.coindesk.com/according-plan-cboe-bullish-first-day-bitcoin-futures-trading/
12/11/17,Bitcoin Price Back Above $17k to Set New All-Time High,2,https://www.coindesk.com/bitcoin-price-back-17k-set-new-time-high/
12/11/17,Understanding Futures: A Primer for Bitcoiners,1,https://www.coindesk.com/understanding-futures-primer-bitcoiners/
12/11/17,CBOE CEO Blasts 'Uncalled For' Bitcoin Futures Critiques,2,https://www.coindesk.com/cboe-ceo-blasts-uncalled-bitcoin-futures-critiques/
12/11/17,New Bitcoin ETF Filings Follow CBOE Futures Debut,2,https://www.coindesk.com/new-bitcoin-etf-filings-follow-cboe-futures-debut/
12/11/17,Futures Launch Puts Record Bitcoin Highs Back in Play,2,https://www.coindesk.com/futures-launch-puts-record-bitcoin-highs-back-in-play/
12/11/17,"Bitcoin Futures Open Sees Price Spike, CBOE Crash",2,https://www.coindesk.com/bitcoin-futures-launch-sees-price-spike-cboe-website-crashes/
12/10/17,"Bitcoin Futures Launch Could Revive ETF Push, CBOE Says",2,https://www.coindesk.com/futures-launch-rekindle-push-bitcoin-etf-cboe-says/
12/10/17,How Forks Might Help Bitcoin Reach Its True Destination,2,https://www.coindesk.com/forks-might-help-bitcoin-reach-true-destination/
12/10/17,Bitcoin Drops to $13k in Red Day for Crypto Markets,-2,https://www.coindesk.com/bitcoin-drops-13k-red-day-crypto-markets/
